X,Y,Z,Xg,Yg,Zg,time,door landmarks,wall landmarks
146.0,472.0,,151.89999999999998,465.0,,53.565887451171875,288,1418
133.0,470.0,,139.0,465.0,,16.4970760345459,75,500
118.0,471.0,,126.1,465.0,,14.659163475036621,76,440
107.0,471.0,,113.2,465.0,,16.24474334716797,82,516
95.0,470.0,,100.29999999999998,465.0,,5.252651691436768,30,207
85.0,467.0,,87.4,465.0,,12.335718154907227,63,419
70.0,473.0,,74.5,465.0,,9.547478675842285,55,359
55.0,466.0,,61.599999999999994,465.0,,10.40762996673584,68,383
45.0,467.0,,48.69999999999999,465.0,,6.969326019287109,49,282
37.0,465.0,,35.79999999999998,465.0,,0.30042243003845215,9,91
17.0,471.0,,22.90000000000001,465.0,,10.678421020507812,70,377
10.0,463.0,,10.0,465.0,,12.264355659484863,89,442
9.0,453.0,,10.0,454.0,,11.399910926818848,71,437
4.0,448.0,,10.0,443.0,,13.199919700622559,84,463
9.0,437.0,,10.0,432.0,,6.014296054840088,50,278
6.0,428.0,,10.0,421.0,,7.844478607177734,67,314
4.0,412.0,,10.0,410.0,,5.492088794708252,41,233
4.0,373.0,,10.0,399.0,,11.619808197021484,60,390
12.0,387.0,,10.0,388.0,,8.3385009765625,46,288
12.0,348.0,,10.0,377.0,,8.651557922363281,58,291
6.0,333.0,,10.0,366.0,,8.952856063842773,69,329
8.0,354.0,,10.0,355.0,,11.959094047546387,93,422
8.0,344.0,,10.0,344.0,,10.622932434082031,107,370
15.0,333.0,,10.0,333.0,,4.219586372375488,64,220
270.0,229.0,,10.0,322.0,,1.2086679935455322,20,127
8.0,311.0,,10.0,311.0,,4.211555480957031,86,195
11.0,295.0,,10.0,300.0,,4.325351238250732,63,259
264.0,317.0,,10.0,289.0,,4.9726948738098145,59,220
6.0,283.0,,10.0,278.0,,2.5500690937042236,32,148
15.0,269.0,,10.0,267.0,,13.306199073791504,94,445
2.0,256.0,,10.0,256.0,,11.214111328125,89,373
9.0,244.0,,10.0,245.0,,8.35824966430664,56,320
6.0,231.0,,10.0,234.0,,6.877502918243408,49,285
8.0,223.0,,10.0,223.0,,4.53480339050293,44,228
8.0,211.0,,10.0,212.0,,2.8856985569000244,57,192
9.0,198.0,,10.0,201.0,,1.2890737056732178,35,127
213.0,133.0,,10.0,190.0,,3.475921154022217,39,176
183.0,90.0,,10.0,179.0,,1.231508731842041,0,137
15.0,167.0,,10.0,168.0,,4.499301910400391,1,238
14.0,164.0,,10.0,157.0,,22.911373138427734,109,826
7.0,144.0,,10.0,146.0,,8.532413482666016,29,345
266.0,138.0,,10.0,135.0,,8.735160827636719,45,379
19.0,136.0,,24.333333333333336,135.0,,19.370223999023438,100,761
34.0,137.0,,38.66666666666667,135.0,,16.692943572998047,65,700
46.0,132.0,,53.0,135.0,,16.94641876220703,83,709
54.0,138.0,,67.33333333333334,135.0,,15.50259017944336,73,669
72.0,141.0,,81.66666666666667,135.0,,5.951681137084961,49,449
80.0,138.0,,96.0,135.0,,10.588095664978027,37,577
92.0,134.0,,110.33333333333334,135.0,,7.161248683929443,36,436
108.0,133.0,,124.66666666666669,135.0,,6.214835166931152,46,442
121.0,136.0,,139.0,135.0,,3.781587839126587,20,296
130.0,128.0,,153.33333333333334,135.0,,2.343269109725952,39,312
139.0,136.0,,167.66666666666669,135.0,,9.034235000610352,65,410
