X,Y,Z,Xg,Yg,Zg,time,door landmarks,wall landmarks
267.0,382.0,,268.0,377.0,,8.825465202331543,87,286
271.0,379.0,,268.0,366.0,,4.521369934082031,48,183
268.0,361.0,,268.0,355.0,,7.891319274902344,66,276
267.0,348.0,,268.0,344.0,,18.631940841674805,109,639
267.0,371.0,,268.0,333.0,,4.89337158203125,43,241
12.0,254.0,,268.0,322.0,,13.381058692932129,83,479
274.0,320.0,,268.0,311.0,,19.551979064941406,155,700
270.0,312.0,,268.0,300.0,,10.440038681030273,77,495
268.0,296.0,,268.0,289.0,,18.392919540405273,105,597
267.0,284.0,,268.0,278.0,,15.746122360229492,111,449
273.0,275.0,,268.0,267.0,,2.3993277549743652,49,127
268.0,265.0,,268.0,256.0,,5.565051078796387,41,182
266.0,255.0,,268.0,245.0,,2.025237798690796,33,130
269.0,242.0,,268.0,234.0,,8.478277206420898,49,304
267.0,228.0,,268.0,223.0,,7.267729759216309,50,304
268.0,217.0,,268.0,212.0,,3.8075554370880127,45,184
264.0,204.0,,268.0,201.0,,2.8207695484161377,45,171
268.0,194.0,,268.0,190.0,,2.367103338241577,41,155
262.0,186.0,,268.0,179.0,,4.302848815917969,49,220
265.0,175.0,,268.0,168.0,,4.165421009063721,64,213
265.0,162.0,,268.0,157.0,,1.7039763927459717,14,89
268.0,151.0,,268.0,146.0,,2.2735226154327393,36,144
275.0,168.0,,268.0,135.0,,1.189880609512329,12,86
264.0,137.0,,254.5,135.0,,3.5908162593841553,44,211
247.0,138.0,,241.0,135.0,,3.186992883682251,22,215
235.0,136.0,,227.5,135.0,,0.9718077182769775,12,125
220.0,137.0,,214.0,135.0,,28.296356201171875,153,918
212.0,139.0,,200.5,135.0,,22.621593475341797,116,639
193.0,141.0,,187.0,135.0,,26.024559020996094,152,787
181.0,143.0,,173.5,135.0,,24.311513900756836,127,725
